KARTU INVENTARIS RUANGAN;;;;;;;;;;;;;;;
PROPINSI;;;: JAWA TIMUR;;;;;;;;;;;;
KABUPATEN;;;: SUMENEP;;;;;;;;;;Semester : I;;
UNIT;;;: CABANG DINAS  PENDIDIKAN PROV. JAWA TIMUR;;;;;;;;;;;;
SATUAN KERJA;;;: SMK  NEGERI  1  SUMENEP;;;;;;;;;;;;
RUANGAN;;;: RUANG LAB. KOMPUTER-PERKANTORAN;;;;;;;;;;;;
;;;;;;;;;;;;;;;
No. Urut;Nama Barang / Jenis Barang;;Merk/ Model;No. Seri Pabrik;Ukuran;Bahan;Tahun Pembuatan/Pembelian;No. Kode Barang;Jumlah Barang/ Register;Harga Beli / Perolehan;Sumber;Keadaan Barang;;;Keterangan Mutasi Dll
;;;;;;;;;;;;Baik                            ( B );Kurang Baik ( KB );Rusak Berat         ( RB );
1;2;;3;4;5;6;7;8;9;10;11;12;13;14;15
1;Meja Tulis;;;-;-;Kayu;1986;02.06.02.01.11;001; Rp450.000 ; B2P ;Baik;-;-;
2;Meja Komputer;;Elindo;-;97x57;Campuran;1999;02.06.02.01.37;001-020; Rp4.000.000 ; B2P ;Baik;-;-;
3;Display;;Amjeon;-;-;Campuran;1999;02.06.01.05.07;002; Rp2.500.000 ; B2P ;Baik;-;-;
4;White Board;;;-;-;Triplek;1999;02.06.01.05.01;001; Rp350.000 ; B2P ;Baik;-;-;
5;Stavolt;;Ksugawa;-;-;Campuran;1999;02.06.03.05.10;005-026; Rp2.700.000 ; B2P ;Baik;-;-;
6;Kursi Plastik;;Eagle;-;-;Plastik;2003;02.06.02.01.06;001-042; Rp1.134.000 ; B2P ;Baik;-;-;
7;Hub 24 part;;D-Link;-;-;Campuran;2006;02.06.03.06.03;001; Rp1.512.000 ; B2P ;Baik;-;-;
8;Key Board+Mouse;;Komik;-;Standart;Campuran;2006;02.06.03.05.09;001-020; Rp1.500.000 ; B2P ;Baik;-;-;
9;Meja Operator(biasa);;;;50x110;Kayu;2007;02.06.02.01.03;002; Rp450.000 ; B2P ;Baik;-;-;
10;PC.  Unit ;;Core i3;-;15 Inch;Campuran;2010;02.06.03.02.01;001-020; Rp130.000.000 ; B2P ;Baik;-;-;
11;PC.  Unit Operator;;Core i3;-;-;Campuran;2013;02.06.03.02.01;001; - ; Diknas ;Baik;-;-;
12;LCD Proyektor;;BenQ;-;-;Campuran;2010;02.06.03.06.01;001; Rp5.250.000 ; B2P ;Baik;-;-;
13;Figura Gambar Presiden;;-;-;38x27;Campuran;2014;02.06.02.06.28;001; Rp30.000 ;B2P;Baik;-;-;
14;Figura Gambar Presiden;;-;-;38x28;Campuran;2014;02.06.02.06.28;001; Rp30.000 ;B2P;Baik;-;-;
15;Figura Lamb. Garuda;;-;-;38x27;Campuran;2014;02.06.02.06.29;001; Rp30.000 ; B2P ;Baik;-;-;
16;AC;;Panasonic;-;-;Campuran;2016;02.06.02.04.03;001-002; Rp3.600.000 ; BOS ;Baik;-;-;
;;;;;;;;;;;;;;;
;;MENGETAHUI ;;;;;;;;Sumenep, 15 Juli 2019;;;;;
;;KEPALA SMKN 1 SUMENEP;;;;PENANGUNG JAWAB RUANGAN;;;; PENGURUS BARANG;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;H. ZAINUL SAHARI, S.Pd,. M.Pd;;;;SUJONO RIYADI, S. Pd;;;;M A R I Y O N O;;;;;
;;NIP. 19690529 199802 1 002;;;;NIP. 19760613 200801 1 016;;;;Pengatur ;;;;;
;;NIP. 19641012 198903 1 011;;;;;;;;NIP . 19780722 200801 1 011;;;;;
